"properties.STATE","time_period","avg_NVI","n_districts"
"PUNJAB","October",0.01,1
"RAJASTHAN","April",0.0111764705882353,17
"RAJASTHAN","August",0.0109090909090909,11
"RAJASTHAN","February",0.000666666666666667,15
"RAJASTHAN","July",0.0126086956521739,23
"RAJASTHAN","June",0.0111764705882353,17
"RAJASTHAN","March",0.00515151515151515,33
"RAJASTHAN","May",0.011,10
"RAJASTHAN","October",0.00545454545454545,33
"RAJASTHAN","September",0.0109090909090909,11
"TAMIL NADU","April",0.00736842105263158,19
"TAMIL NADU","August",0.00375,8
"TAMIL NADU","February",0,3
"TAMIL NADU","July",0.00636363636363636,11
"TAMIL NADU","June",0.00222222222222222,9
"TAMIL NADU","March",0.01,11
"TAMIL NADU","May",0.006,20
"TAMIL NADU","October",0.00588235294117647,17
"TAMIL NADU","September",0.007,10
"TELANGANA","April",0.0283870967741935,31
"TELANGANA","August",0.01,2
"TELANGANA","June",0.0075,4
"TELANGANA","March",0.015,2
"TELANGANA","May",0.0106451612903226,31
"TELANGANA","October",0.012,5
"TELANGANA","September",0.0225,8
"TRIPURA","June",0.01,1
"TRIPURA","May",0.01,2
"TRIPURA","September",0.01,1
"UTTAR PRADESH","April",0.0114285714285714,21
"UTTAR PRADESH","August",0.0116666666666667,12
"UTTAR PRADESH","February",0.00146666666666667,75
"UTTAR PRADESH","July",0.0148648648648649,74
"UTTAR PRADESH","June",0.0119512195121951,41
"UTTAR PRADESH","March",0.00613333333333333,75
"UTTAR PRADESH","May",0.00666666666666667,15
"UTTAR PRADESH","October",0.00333333333333333,3
"UTTAR PRADESH","September",0.01,14
"UTTARAKHAND","April",0,8
"UTTARAKHAND","August",0,5
"UTTARAKHAND","February",0.01,1
"UTTARAKHAND","July",0.00222222222222222,9
"UTTARAKHAND","June",0.00125,8
"UTTARAKHAND","March",0,7
"UTTARAKHAND","May",0,8
"UTTARAKHAND","September",0.00333333333333333,3
"WEST BENGAL","April",0.0204347826086957,23
"WEST BENGAL","August",0.020625,16
"WEST BENGAL","February",0,3
"WEST BENGAL","July",0.0291304347826087,23
"WEST BENGAL","June",0.0273913043478261,23
"WEST BENGAL","March",0.0357142857142857,14
"WEST BENGAL","May",0.03125,16
"WEST BENGAL","October",0.0190909090909091,11
"WEST BENGAL","September",0.0292307692307692,13
